name,description ,location 
0001-0004-6378,"HYCO Plant DeltaV System-LINDE-Praxair, Belle, West Virginia, United States",needs added 
0001-0004-6459,"Liberty One Methanol DeltaV-US METHANOL-US Methanol LLC, Charleston, WV, United States",needs added 
0001-0004-6723,"Gold Key 4/1/18-ROVISYS-Rovisys Company, Aurora, Ohio, United States",needs added 
0001-0004-6772,"HMI DeltaV System-FLEXSYS-FLEXSYS AMERICA LP, MONONGAHELA, PA, United States",needs added 
0001-0004-7277,"Plant DV Controls-SYNOVA-SYNOVA, WESTERVILLE, OH, United States",needs added 
0001-0004-7340,"Simulation System-MATRIX PDM-Matrix Pdm Engineering, Pittsburgh, PA, United States",needs added 
0001-0004-7368,"Gold Key 9/14/18-ROVISYS-Rovisys Company, Aurora, Ohio, United States",needs added 
0001-0004-7680,"McMichael Compressor Station-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0004-7904,"Smithburg Cryo Gas Plant-MPLX-MPLX, Smithfield, WV, United States",needs added 
0001-0004-8013,"DeltaV Zone 1- ECU-SHELL-Shell Chemical Appalachia Llc, Monaca, PA, United States",needs added 
0001-0004-8014,"DeltaV Zone 1 - OSBL-SHELL-Shell Chemical Appalachia Llc, Monaca, PA, United States",needs added 
0001-0004-8090,"Building 37 / 94 DELTAV-CALLERY CHEMICAL-Callery LLC, Evans, PA, United States",needs added 
0001-0004-8500,"DeltaV System-ALLEGHENY PETROLEUM PRODUCTS-Allegheny Petroleum Products Co, Wilmerding, PA, United States",needs added 
0001-0004-8977,"51762-SAREPTA THERAPEUTICS-SAREPTA THERAPEUTICS, DUBLIN, OH, United States",needs added 
0001-0004-9727,"Penn Cryo Plant (XTO Butler)-EXXONMOBIL-Mountain Gathering, LLC (XTO), Renfrew, PA, United States",needs added 
0001-0004-9960,"DeltaV System - Running System to Remain-DYNO NOBEL-Dyno Nobel Inc, Donora, Pa, United States",needs added 
0001-0004-9961,"DeltaV System - Idle System to Remain-DYNO NOBEL-Dyno Nobel Inc, Donora, Pa, United States",needs added 
0001-0005-0132,"ASCI Job # 41357-ADVANCED CONTROL SOLUTIONS-Advanced Control Solutions (asci), Sylvania, OH, United States",needs added 
0001-0005-0693,"DeltaV System-OPTIMA BELLE-Optima Belle, Belle, WV, United States",needs added 
0001-0005-0713,"Boiler DeltaV System-CLEVELAND CLIFFS-Cleveland Cliffs, Monessen, PA, United States",needs added 
0001-0005-0726,"Batch Unit 7 DeltaV System-AC&S-AC and S Inc., Nitro, WV, United States",needs added 
0001-0005-1379,"Merged Licenses POOL Key-INEOS-INEOS AMERICAS LLC, LIMA, OH, United States",needs added 
0001-0005-2102,"Painesville Hydrogen Plant-ERIE INTERNATIONAL GROUP-ERIE INTERNATIONAL GROUP, PAINESVILLE, OH, United States",needs added 
0001-0005-2125,"Cola Hydrogen Plant-EQT-Eqt Corporation, Pittsburgh, PA, United States",needs added 
0001-0005-2584,"Timberlake Compressor Station-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0007-9244,"OP-23100480-FAR EASTERN NEW-Phoenix Technologies International, LLC, Bowling Green, Ohio, United States",needs added 
0001-0007-9314,"HYCO Plant DeltaV System - Full System-LINDE-Praxair, Belle, West Virginia, United States",needs added 
0001-0007-9410,"DeltaV-PARKER LORD - INDIANAPOLIS-PARKER LORD CORPORATION, Parker LORD Indianapolis, INDIANAPOLIS, IN, United States",needs added 
0001-0007-9556,"Lamar Site Delta V System-CRODA-Croda Inc., Mill Hall, PA, United States",needs added 
0001-0008-1397,"Expanded Tank 2 Area DCS-VITRO-Vitro Architectural Glass, Cochranton, PA, United States",needs added 
0001-0008-1401,"B-11 DeltaV-UNITED INITIATORS-UNITED INITIATORS, Elyria, OH, United States",needs added 
0023-0001-0023,"Brigich Compressor Station - PK Controller Engineering Software-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0023-0001-0026,"Fulton Compressor Station - PK Controller Engineering Software-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0023-0001-0230,"DEMO PK System-DC TECH-DC TECH LTD., HUDSON, OH, United States",needs added 
0023-0001-0238,"PK Controller System - Flow Reactor-LUBRIZOL-Lubrizol CORP The, Wickliffe, OH, United States",needs added 
0023-0001-0255,"DEMO PK System - NEW-DC TECH-DC TECH LTD., HUDSON, OH, United States",needs added 
0023-0001-0285,"Lab Demo Engineering Software-VITRO ARCHITECTURAL GLASS-Vitro Architectural Glass, Cheswick, PA, United States",needs added 
0023-0001-0320,"PK Controller System - Training System-LUBRIZOL-Lubrizol CORP The, Wickliffe, OH, United States",needs added 
0023-0001-0358,"PK Controller System - Skid 2.0-LUBRIZOL-Lubrizol CORP The, Wickliffe, OH, United States",needs added 
0023-0001-0495,"Standalone PK Controller DeltaV-OPTIMA BELLE-Optima Belle, Belle, WV, United States",needs added 
0023-0001-0512,"WSCC - DeltaV Training System - Standalone PK Software-WASHINGTON STATE COMMUNITY COLLEGE-WASHINGTON STATE COMMUNITY COLLEGE (WSCC), Yes, MARIETTA, OH, United States",needs added 
0023-0001-0523,"#9 Tandem Mill - PK Software-CLEVELAND CLIFFS-Cleveland Cliffs LLC, Weirton, WV, United States",needs added 
0023-0001-0583,"Standalone DeltaV PK system for interconnection to scales via different protocols.-DEVELOPMENT SYSTEM STANDALONE-Mettler-Toledo International, Worthington, OH, Worthington, OH, United States",needs added 
0023-0001-0702,"Impossible Food Inc. - PK Controller Engineering Software-IMPOSSIBLE FOODS-Impossible Foods Inc, Redwood City, CA, United States",needs added 
0023-0001-0726,"Irvin - PK Standalone Eng Software-USS-USS CORP, WEST MIFFLIN, PA, United States",needs added 
0023-0001-0738,"Westlake - PK Standalone Eng Software-WESTLAKE-Westlake Chemical CORP, Proctor, WV, United States",needs added 
0031-0001-0002,"Hoskin Compressor Station - PK HMI-MARKWEST-MarkWest Energy Partners, Washington, PA, United States",needs added 
0031-0001-0003,"Fulton Compressor Station - PK HMI-MARKWEST-MarkWest Energy Partners, Washington, PA, United States",needs added 
0031-0001-0004,"Godwin Compressor Station - PK HMI-MARKWEST-MarkWest Energy Partners, Washington, PA, United States",needs added 
0031-0001-0005,"Tupta Day Compressor Station - PK HMI-MARKWEST-MarkWest Energy Partners, Washington, PA, United States",needs added 
0031-0001-0006,"Brigich Compressor Station - PK HMI-MARKWEST-MarkWest Energy Partners, Washington, PA, United States",needs added 
0031-0001-0007,"Dryer Compressor Station - PK HMI-MARKWEST-MarkWest Energy Partners, Washington, PA, United States",needs added 
0031-0001-0008,"Johnston Compressor Station - PK HMI-MARKWEST-MarkWest Energy Partners, Washington, PA, United States",needs added 
0031-0001-0009,"Baker Compressor Station - PK HMI-MARKWEST-MarkWest Energy Partners, Washington, PA, United States",needs added 
