Node Name,Type,Model,Description,Serial,Firmware,Version,Status,Redundant,OS Name,OS Service Pack,Bios Version,OEM Type Description,SMS Filter,SMS Type
CTRL_SABLDG,Controller,SE3007,DeltaV SX Controller,P184172149,Rev 47.6,14.3.1.7412.xr,Current,Yes,NA,NA,,,Controller|1926e9d8-c851-46c1-84ac-2dbb92192df1,IbsSystemDevice
CTRL_SABLDG-partner,Controller,SE3007,DeltaV SX Controller,P184172129,Rev 47.6,14.3.1.7412.xr,Current,Yes,NA,NA,,,Controller|a4e51112-7eb3-43bc-81b2-6e5e0469a6ef,IbsSystemDevice
CIOC-1,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P160870476,Rev 8.12,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|e997717b-3b5d-432e-965c-3a4ec74ac412,IbsSystemDevice
CIOC-10,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P184278327,Rev 8.15,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|ce7dd737-cc54-4be3-aac4-275028415068,IbsSystemDevice
CIOC-10-partner,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P184278389,Rev 8.15,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|4c9f8455-dde0-42bd-97b6-fa54ff0c1e38,IbsSystemDevice
CIOC-11,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P184278438,Rev 8.15,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|7c30b091-e646-4e96-9e27-ab2596f615be,IbsSystemDevice
CIOC-11-partner,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P184280544,Rev 8.15,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|84a84f9d-c0d0-4fff-a5c4-c91433cff043,IbsSystemDevice
CIOC-12,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P184278318,Rev 8.15,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|00e0b57a-36d7-4a5b-a524-0520cfa8df76,IbsSystemDevice
CIOC-12-partner,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P184278450,Rev 8.15,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|a6b0072f-8665-4612-8bb4-9c3c98b37b69,IbsSystemDevice
CIOC-1-partner,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P160870508,Rev 8.12,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|8f044dd7-2c07-400c-91e0-36ade8436774,IbsSystemDevice
CIOC-2,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P160870526,Rev 8.12,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|5a21a723-411b-4f79-9280-00981327b10f,IbsSystemDevice
CIOC-2-partner,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P160870518,Rev 8.12,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|f6c79967-673d-404c-bfb6-84eb55e53982,IbsSystemDevice
